Reading config file...
2022/03/21 15:35:11 Now running. Press CTRL-C to exit.
guild ID: 830676304487120956
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
684588286496342059 YellowHopeless 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
684583765263122435 ohIAki 2022-03-22
796618007665180672 omgSugoi 2022-03-22
843392678665125908 peepoThink 2022-03-22
638549659094220801 BocchiHyperClap 2022-03-22
606983109329551371 MonkaHmm 2022-03-22
684588286496342059 YellowHopeless 2022-03-22
765376212784250940 brownAwau 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
794393262512668679 OMEGALUL 2022-03-22
776311876434657301 CatThumbsUp 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
900447948884824074 bakaWau 2022-03-22
737497603649962077 wakaYay 2022-03-22
737497603201302609 wakaBlush 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
684587611393622033 rankoSmug 2022-03-22
900447948884824074 bakaWau 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
610237142614016126 xqcM 2022-03-22
684573841061576796 gayTension 2022-03-22
609237439181094946 YuiStop 2022-03-22
626642947198287883 WeirdChamp 2022-03-22
626645460643217418 peepoGrimace 2022-03-22
920558497203101697 PEEPERS 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
684588286496342059 YellowHopeless 2022-03-22
guild ID: 830676304487120956
guild ID: 296167427652321302
606980165871992879 DColon 2022-03-22
717409819937603665 sadge 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
717409819937603665 sadge 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
786987131612037181 umuPensive 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606982228425310209 AquaThumbsUp 2022-03-22
786987131612037181 umuPensive 2022-03-22
606980165871992879 DColon 2022-03-22
775175968657899560 pepeLaugh1 2022-03-22
guild ID: 830676304487120956
guild ID: 296167427652321302
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
794393262512668679 OMEGALUL 2022-03-22
820003977268822096 IrizchuPat 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
794393262512668679 OMEGALUL 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
900447948884824074 bakaWau 2022-03-22
869804326162423878 notLikeUni 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
809891608425267271 CantSleep 2022-03-22
900447948884824074 bakaWau 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
626642947198287883 WeirdChamp 2022-03-22
920558497203101697 PEEPERS 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
609237433174720512 YuiBless 2022-03-22
626642947214934026 OkayChamp 2022-03-22
356732072355692554 meguGun 2022-03-22
920558497203101697 PEEPERS 2022-03-22
684587611393622033 rankoSmug 2022-03-22
684573841061576796 gayTension 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
606980165871992879 DColon 2022-03-22
920558497203101697 PEEPERS 2022-03-22
821500181807366164 whyBullyNerd 2022-03-22
900447948884824074 bakaWau 2022-03-22
684190226608029737 ChinoShock 2022-03-22
900447948884824074 bakaWau 2022-03-22
375459873669906432 GWchinaAqua7 2022-03-22
688570177763541006 bakaWAH 2022-03-22
843392678665125908 peepoThink 2022-03-22
694035885812875304 chocoGasp 2022-03-22
694035885812875304 chocoGasp 2022-03-22
869804326162423878 notLikeUni 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
786987131612037181 umuPensive 2022-03-22
606980165871992879 DColon 2022-03-22
786987131612037181 umuPensive 2022-03-22
900447948884824074 bakaWau 2022-03-22
684199059900465152 smol 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
633882235946401802 EMTheart 2022-03-22
703119073466122290 yeehawturtle 2022-03-22
578428711318323210 umu 2022-03-22
606980165871992879 DColon 2022-03-22
694035885812875304 chocoGasp 2022-03-22
606982228425310209 AquaThumbsUp 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
356732493811941377 HYPERS 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
843392678830014495 peepoShrug 2022-03-23
773006720149880852 hoshiDerp 2022-03-23
606980165871992879 DColon 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
869804326162423878 notLikeUni 2022-03-23
775175968657899560 pepeLaugh1 2022-03-23
606980165871992879 DColon 2022-03-23
684581260840140812 velvetThink 2022-03-23
869804326162423878 notLikeUni 2022-03-23
684199059900465152 smol 2022-03-23
811851609738575873 pepeWoah 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
796618007665180672 omgSugoi 2022-03-23
375459870524047361 GWchinaAstolfoSleep 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
737497904813703240 wakaCry 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
766503678101815316 scarfFang 2022-03-23
752090022605226065 woah 2022-03-23
752090022605226065 woah 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
737496844682133545 maoThink 2022-03-23
776312281906020383 SadCat 2022-03-23
702386433226309683 wakaSad 2022-03-23
702385534600871977 wakaBroken 2022-03-23
737496844682133545 maoThink 2022-03-23
702385534600871977 wakaBroken 2022-03-23
702386433226309683 wakaSad 2022-03-23
626642947198287883 WeirdChamp 2022-03-23
606978611903201333 FlushingOutTheWindow 2022-03-23
780945173714042900 chitogeCry 2022-03-23
869769387589111848 whereSex 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
786987131612037181 umuPensive 2022-03-23
606980165871992879 DColon 2022-03-23
869804326162423878 notLikeUni 2022-03-23
820003976660516954 pleadingLove 2022-03-23
752090022605226065 woah 2022-03-23
699289063709999235 1Head 2022-03-23
356732543506186240 heHeh 2022-03-23
820003977315614781 burgerCat 2022-03-23
786987131612037181 umuPensive 2022-03-23
694033022172790856 yep 2022-03-23
guild ID: 830676304487120956
guild ID: 296167427652321302
786987131612037181 umuPensive 2022-03-23
794393262512668679 OMEGALUL 2022-03-23
634977469627367454 wakeMeUpWhenItsTimeToSleep 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
702387357160046672 wakaH 2022-03-23
606980165871992879 DColon 2022-03-23
606980165871992879 DColon 2022-03-23
606980165871992879 DColon 2022-03-23
786987131612037181 umuPensive 2022-03-23
634981566816452628 WhatHaveIDone 2022-03-23
776311876434657301 CatThumbsUp 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
811851609738575873 pepeWoah 2022-03-23
606983109329551371 MonkaHmm 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
606980165871992879 DColon 2022-03-23
606980165871992879 DColon 2022-03-23
606977854072160261 monkaW 2022-03-23
606980165871992879 DColon 2022-03-23
686040205308067870 iroPog 2022-03-23
869775122553274408 wakaAngery 2022-03-23
702386433226309683 wakaSad 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
684232901650546741 sadface 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
609237437021159453 YuiPeace 2022-03-23
684190227736428744 BreakItUp 2022-03-23
626642947198287883 WeirdChamp 2022-03-23
684587611469119653 rankoPog 2022-03-23
356732087228694529 MitsuhaHappy 2022-03-23
717579306993451008 umu_umu 2022-03-23
356732087228694529 MitsuhaHappy 2022-03-23
375459873669906432 GWchinaAqua7 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
615294734826471436 FeelsWeirdestMan 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
606980165871992879 DColon 2022-03-23
684583765263122435 ohIAki 2022-03-23
684588286496342059 YellowHopeless 2022-03-23
786987131612037181 umuPensive 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
606980165871992879 DColon 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
765366899826753557 guraBlush 2022-03-23
607001558319759381 pensiveCrabRave 2022-03-23
821240056626282516 bakaSmart 2022-03-23
900447948884824074 bakaWau 2022-03-23
702386433226309683 wakaSad 2022-03-23
686040205308067870 iroPog 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
794393262512668679 OMEGALUL 2022-03-23
717409819937603665 sadge 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
634977469627367454 wakeMeUpWhenItsTimeToSleep 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
869775122414841856 wakaScary 2022-03-23
847781049627050003 ayameWTF 2022-03-23
900447948884824074 bakaWau 2022-03-23
606977854026153987 5Head 2022-03-23
686041803257938029 hanaDesk 2022-03-23
688570177763541006 bakaWAH 2022-03-23
688570177763541006 bakaWAH 2022-03-23
776311876434657301 CatThumbsUp 2022-03-23
356732087228694529 MitsuhaHappy 2022-03-23
684199059900465152 smol 2022-03-23
821240056626282516 bakaSmart 2022-03-23
684581261502971921 redcellScreams 2022-03-23
775175032975523890 remVV 2022-03-23
606982227452100630 MeguDead 2022-03-23
900447948884824074 bakaWau 2022-03-23
775175032975523890 remVV 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
634977469690150912 AYAYAcry 2022-03-23
606977852436512823 PepeLaugh 2022-03-23
684581888379322439 illyaBlush 2022-03-23
356732087228694529 MitsuhaHappy 2022-03-23
688570177763541006 bakaWAH 2022-03-23
737497603649962077 wakaYay 2022-03-23
606977853992730624 Pepega 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
765366899826753557 guraBlush 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
821500181807366164 whyBullyNerd 2022-03-23
684582753856913462 yooWhat 2022-03-23
684581261502971921 redcellScreams 2022-03-23
684199059900465152 smol 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
765376212784250940 brownAwau 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
684587611393622033 rankoSmug 2022-03-23
773006722578907136 KaltWorry 2022-03-23
633882235946401802 EMTheart 2022-03-23
703119073466122290 yeehawturtle 2022-03-23
578428711318323210 umu 2022-03-23
752090022605226065 woah 2022-03-23
821500181807366164 whyBullyNerd 2022-03-23
